alternative,One alternative to buying a pet in a pet store is adopting one from a shelter.
anticipate,Will you be home tomorrow? I anticipate a few packages arriving in the mail.
chemical,It is common to  clean a bathroom or kitchen with strong chemicals like bleach.
consequence,"If you break the law, you might face consequences like going to jail."
struggle,She always struggles to finish her food.
devastating,An earthquake can have devastating effects on a city.
keen,I'm keen to try the new Indian restaurant.
sustainable,The woman moved to the countryside in hopes of living a more sustainable lifestyle.
account,The cafe owner says the sale of coffee drinks accounts for 80 percent of his store's income.
adopt,She *adapted* a British accent white living in London.
deprive,"Homeless children are deprived of food, but more importantly a peaceful, happy childhood."
estimated,I pay an estimated 20 percent in taxes.
ethical,Its not ethical for  companies to pay their workers so little.
impact,No one could have predicted the impact the iPhone would have on communication.
modify,I have to modify the design slightly for it to work.
vital,At this company we believe every employee is vital to our success.
